bin_centers_keVnr,efficiency_mean,efficiency_upper_bound,efficiency_lower_bound
0.5,0.0005753290048726231,0.0006170713248053376,0.0013884700256798746
1.5,0.0015395248775645631,0.00510702542569028,0.0
2.5,0.03999290934862017,0.049604538914133245,0.02699514624316853
3.5,0.14422961914756013,0.17300654332363993,0.11942196635793341
4.5,0.32309756766790604,0.3580392061159941,0.2816678492573127
5.5,0.5076597749591838,0.5456682268961275,0.45956830994399855
6.5,0.636801369291994,0.6850166145031953,0.5972122002616874
7.5,0.7392556523933766,0.7818379694732385,0.6944942286724543
8.5,0.8038637106495059,0.839173013207625,0.761119509914668
9.5,0.8392017344326507,0.870480193026772,0.7967295297355157
10.5,0.8609191107678007,0.8905756789436434,0.8184600429978155
11.5,0.8739977565328744,0.9037245319541509,0.8324790747097834
12.5,0.8807527210690218,0.9115540357999445,0.8405875667854787
13.5,0.883499053717394,0.915691474222674,0.8445864611389613
14.5,0.8845518038191416,0.9177641309639892,0.8462766996842905
15.5,0.8857874877836512,0.91914240938212,0.8471759580779207
16.5,0.8873284902932523,0.9201691913016166,0.8476688469458814
17.5,0.8888586630985122,0.9209304781636103,0.8478567106565981
18.5,0.890061857949996,0.9215122714092316,0.8478408935784943
19.5,0.8906887776606074,0.9219835551335839,0.8477032127571619
20.5,0.8907575292925992,0.9223452440476599,0.8474473759468572
21.5,0.8903530709705617,0.9225812355164253,0.8470575635790036
22.5,0.8895603608190857,0.9226754269048453,0.8465179560850244
23.5,0.8884643569627607,0.9226117155778849,0.8458127338963428
24.5,0.8871500175261772,0.9223739989005096,0.8449260774443819
25.5,0.8857023006339256,0.9219461742376847,0.8438421671605651
26.5,0.8842061644105961,0.9213121389543755,0.8425451834763158
27.5,0.8827465669807791,0.9204557904155477,0.8410193068230571
28.5,0.8812121073523735,0.9192488261136221,0.8390438281604105
29.5,0.8787059480665134,0.9171141440508433,0.8355784805607885
30.5,0.8741348925476413,0.913362442356912,0.8293781076248032
31.5,0.8664057442202002,0.9073044191615288,0.8191975529530655
32.5,0.8544253065086329,0.8982507725943945,0.8037916601461863
33.5,0.837100382837382,0.8855122007852091,0.7819152728047771
34.5,0.8133377766308904,0.8683994018636736,0.752323234529449
35.5,0.7820442913136008,0.8462230739594885,0.7137703889208131
36.5,0.7425088842597772,0.8181722319439588,0.6655817228860119
37.5,0.6955491286429681,0.7829491576548098,0.6093627965583112
38.5,0.642364751586543,0.7391344496713699,0.5472893133775075
39.5,0.584155480213872,0.6864888236754395,0.4815369767833984
40.5,0.5221210416483246,0.6294934637586994,0.41428149021578037
41.5,0.4572967987746052,0.572187807702754,0.3476985571144502
42.5,0.3900606575227567,0.5121238396390166,0.283963880919205
43.5,0.32201933827521845,0.44727043326895766,0.22525316506984172
44.5,0.26035227617867684,0.38375147422446715,0.1737421130061572
45.5,0.21102644993636385,0.3274097933017048,0.13107389013177714
46.5,0.16958629771344522,0.2748089900234915,0.09676150970564261
47.5,0.13080658858670838,0.22219291433455807,0.06978544695052341
48.5,0.09680595581749409,0.1738056491406137,0.04912617708918936
49.5,0.07059341115318313,0.1345515275589207,0.033764175344410306
50.5,0.051395616100763944,0.10397565059197626,0.022679916938956098
51.5,0.037493644607126925,0.08028331121358642,0.014853877095596563
52.5,0.027168570619162443,0.061679802397557,0.00926653103710154
53.5,0.018958806442117716,0.04661141364744081,0.0050465762629177315
54.5,0.0124321178146675,0.03448842058577791,0.001915599379199362
55.5,0.007413608833843413,0.02496209536485523,0.0
56.5,0.003728383596677073,0.01768371013695968,0.0
57.5,0.0012015462002001004,0.012304537054378187,0.0
58.5,0.0,0.008475848269397668,0.0
59.5,0.0,0.005848915934305045,0.0
60.5,0.0,0.0040750122013872405,0.0
61.5,0.0,0.002805409222931173,0.0
62.5,0.0,0.0017528645178944207,0.0004480543059386463
63.5,0.0005724959095856519,0.0008760770719171829,0.001259278163808168
64.5,0.001257288114819588,0.00019523123731031954,0.0018575687404540125
65.5,0.001701300936995841,0.0,0.0021127349187072654
66.5,0.001729638473146034,0.0,0.0018945855813990178
67.5,0.0011674048203017854,0.0,0.0010729296113603562
68.5,0.0,0.0,0.0
69.5,0.0,0.0004365785657116302,0.0
